Địa Điểm,Ngày/Giờ,Nhiệt Độ (°C),Độ Ẩm (%),Tốc Độ Gió (m/s),Áp Suất (hPa),Mức Đo Nhiệt Độ,Góc Hướng Gió,Độ Mây Che phủ,Tầm Nhìn(km),Mô Tả Thời Tiết,Thời Tiết
Ho Chi Minh City,2023-11-24 19:34:01.000000 ,27.01,65,2.06,1011,28.47,50,20,10000,Mây ít,Nắng
Hanoi,2023-11-24 19:34:50.000000 ,24,67,3.81,1019,24.21,149,63,10000,Mây rải rác,Nắng
Turan,2023-11-24 19:36:24.000000 ,25.99,61,1.54,1017,25.99,60,40,10000,Mây rải rác,Nắng
Haiphong,2023-11-24 19:37:15.000000 ,23.95,69,3.09,1018,24.2,100,0,10000,Không xác định,Nắng
Bien Hoa,2023-11-24 19:37:15.000000 ,26.99,82,1.97,1011,29.91,68,100,10000,Mưa nhẹ,Mưa
Can Tho,2023-11-24 19:37:15.000000 ,25.99,89,1.03,1011,25.99,0,75,8000,Mưa nhẹ,Mưa
Thu Dau Mot,2023-11-24 19:37:15.000000 ,27.03,65,2.06,1011,28.5,50,20,10000,Mưa nhẹ,Mưa
Di An,2023-11-24 19:37:15.000000 ,26.82,65,2.06,1011,28.2,50,20,10000,Mưa nhẹ,Mưa
Hue,2023-11-24 19:37:15.000000 ,25.06,69,2.06,1017,25.42,70,75,10000,Mây rải rác,Nắng
Vung Tau,2023-11-24 19:36:04.000000 ,25.97,76,2.51,1012,25.97,85,100,10000,Mưa nhẹ,Mưa
Thu Dau Mot,2023-11-24 19:37:15.000000 ,27.03,65,2.06,1011,28.5,50,20,10000,Mưa nhẹ,Mưa
Nha Trang,2023-11-24 19:37:16.000000 ,25,90,4.1,1015,25.91,346,100,10000,Mưa nhẹ,Mưa
Ha Long,2023-11-24 19:37:16.000000 ,23.77,77,2.97,1019,24.21,86,78,10000,Mây rải rác,Nắng
Qui Nhon,2023-11-24 19:37:16.000000 ,24.68,75,7.66,1016,25.16,356,100,10000,Mây u ám,Nắng
Thanh Hoa,2023-11-24 19:37:16.000000 ,22.43,82,1.21,1019,22.87,95,94,10000,Mây u ám,Nắng
Thai Nguyen,2023-11-24 19:37:16.000000 ,23.88,67,2.62,1019,24.07,162,97,10000,Mây u ám,Nắng
Buon Ma Thuot,2023-11-24 19:37:16.000000 ,20.38,77,3.46,1015,20.48,87,100,10000,Mây u ám,Nắng
Long Xuyen,2023-11-24 19:37:16.000000 ,25.97,78,1.8,1012,25.97,91,100,10000,Mưa nhẹ,Mưa
Phu Khuong,2023-11-24 19:37:17.000000 ,25.77,70,3.78,1011,26.23,44,100,10000,Mưa nhẹ,Mưa
Vinh,2023-11-24 19:37:17.000000 ,22.3,84,1.76,1019,22.78,86,49,10000,Mây rải rác,Nắng
Rach Gia,2023-11-24 19:37:17.000000 ,25.62,75,2.12,1011,26.2,83,100,10000,Mây u ám,Nắng
Da Lat,2023-11-24 19:37:17.000000 ,15.06,99,1.61,1016,15.21,45,100,5655,Mưa vừa,Mưa
Bac Ninh,2023-11-24 19:34:03.000000 ,24.05,67,4.65,1019,24.26,142,77,10000,Mây rải rác,Nắng
Hai Duong,2023-11-24 19:37:17.000000 ,24,71,4.8,1019,24.31,119,88,10000,Mây u ám,Nắng
Phan Thiet,2023-11-24 19:33:23.000000 ,24.36,84,2.09,1012,25.04,55,100,10000,Mưa nhẹ,Mưa
Pleiku,2023-11-24 19:37:18.000000 ,18.45,79,2.49,1016,18.41,60,100,10000,Mây u ám,Nắng
Nam Dinh,2023-11-24 19:37:18.000000 ,24.05,73,4.12,1019,24.42,110,99,10000,Mây u ám,Nắng
Ca Mau,2023-11-24 19:37:18.000000 ,23.09,88,1.66,1012,23.75,47,100,10000,Mưa vừa,Mưa
Viet Tri,2023-11-24 19:37:18.000000 ,23.97,65,4.08,1019,24.12,139,98,10000,Mây u ám,Nắng
Soc Trang,2023-11-24 19:37:18.000000 ,23.82,90,1.84,1012,24.61,59,100,10000,Mây u ám,Nắng
Quang Ngai,2023-11-24 19:37:18.000000 ,22.3,77,2.99,1017,22.6,329,90,10000,Mây u ám,Nắng
Thai Binh,2023-11-24 19:37:18.000000 ,24.3,71,5,1019,24.64,106,100,10000,Mây u ám,Nắng
My Tho,2023-11-24 19:37:18.000000 ,23.73,94,0.97,1012,24.61,124,100,10000,Mưa vừa,Mưa
Tuy Hoa,2023-11-24 19:33:04.000000 ,23.49,85,5.37,1015,24.11,2,100,10000,Mưa nhẹ,Mưa
Bac Lieu,2023-11-24 19:37:19.000000 ,24.07,87,2.86,1012,24.8,54,100,10000,Mây u ám,Nắng
Thanh Pho Uong Bi,2023-11-24 19:37:19.000000 ,23.99,72,2.32,1019,24.32,101,100,10000,Mây u ám,Nắng
Bac Giang,2023-11-24 19:37:19.000000 ,24.04,65,3.9,1019,24.2,141,99,10000,Mây u ám,Nắng
Tay Ninh,2023-11-24 19:37:20.000000 ,25.88,70,3.59,1011,26.35,46,100,10000,Mưa nhẹ,Mưa
Ninh Binh,2023-11-24 19:37:20.000000 ,23.74,75,2.73,1019,24.13,110,100,10000,Mây u ám,Nắng
Tan An,2023-11-24 19:37:20.000000 ,27.01,93,1.34,1011,31.09,163,100,10000,Mưa nhẹ,Mưa
Kon Tum,2023-11-24 19:37:20.000000 ,18.86,81,1.66,1016,18.92,50,91,10000,Mây u ám,Nắng
Tam Ky,2023-11-24 19:37:20.000000 ,22.38,75,1.81,1018,22.63,344,28,10000,Mây rải rác,Nắng
Vinh Long,2023-11-24 19:37:20.000000 ,25.99,84,1.95,1011,25.99,90,100,10000,Mây u ám,Nắng
Lao Cai,2023-11-24 19:37:21.000000 ,20.4,81,0.46,1019,20.61,191,47,10000,Mây rải rác,Nắng
Lagi,2023-11-24 19:37:21.000000 ,24.92,81,3.68,1012,25.58,73,100,10000,Mưa nhẹ,Mưa
Rach Gia,2023-11-24 19:37:17.000000 ,25.62,75,2.12,1011,26.2,83,100,10000,Mây u ám,Nắng
Con Son,2023-11-24 19:37:21.000000 ,26.24,88,13.64,1011,26.24,52,100,6903,Mưa vừa,Mưa
Cho Dok,2023-11-24 19:33:08.000000 ,25.68,71,2,1012,26.16,36,100,10000,Mưa nhẹ,Mưa
Loc Ninh,2023-11-24 19:37:21.000000 ,23.38,74,2.22,1012,23.71,64,100,10000,Mây u ám,Nắng
Phan Rang-Thap Cham,2023-11-24 19:37:21.000000 ,22.91,91,3.61,1013,23.63,359,100,10000,Mưa nhẹ,Mưa
Kwang Binh,2023-11-24 19:37:21.000000 ,23.5,78,3.19,1018,23.94,111,59,10000,Mây rải rác,Nắng
Dien Bien Phu,2023-11-24 19:37:22.000000 ,21.19,74,1.25,1018,21.3,85,100,10000,Mây u ám,Nắng
Turan,2023-11-24 19:37:22.000000 ,25.99,61,1.54,1017,25.99,60,40,10000,Mây rải rác,Nắng
Don Luan,2023-11-24 19:32:27.000000 ,26.08,84,2.83,1012,26.08,40,100,10000,Mưa nhẹ,Mưa
Loc Ninh,2023-11-24 19:37:21.000000 ,23.38,74,2.22,1012,23.71,64,100,10000,Mây u ám,Nắng
Song Cau,2023-11-24 19:37:22.000000 ,24.28,77,7.33,1015,24.77,1,100,10000,Mây u ám,Nắng
Bim Son,2023-11-24 19:37:22.000000 ,23.64,75,2.17,1019,24.02,96,89,10000,Mây u ám,Nắng
Cu Chi,2023-11-24 19:37:22.000000 ,27.01,77,1.98,1011,29.48,47,100,10000,Mưa nhẹ,Mưa
Uyen Hung,2023-11-24 19:37:22.000000 ,26.78,81,2.58,1011,29.34,50,100,10000,Mưa nhẹ,Mưa
Ben Tre,2023-11-24 19:37:23.000000 ,23.65,95,0.87,1012,24.55,100,100,10000,Mưa nhẹ,Mưa
Sa Dec,2023-11-24 19:37:23.000000 ,25.99,81,2.25,1011,25.99,103,100,10000,Mây u ám,Nắng
Ap Van Tu Tay,2023-11-24 19:37:24.000000 ,24.34,92,3.19,1015,25.23,344,100,10000,Mưa nhẹ,Mưa
Song Cau,2023-11-24 19:37:22.000000 ,24.28,77,7.33,1015,24.77,1,100,10000,Mây u ám,Nắng
Ngo Chau,2023-11-24 19:37:24.000000 ,23.07,77,4.63,1016,23.44,2,100,10000,Mây u ám,Nắng
Hoi An,2023-11-24 19:37:24.000000 ,25.98,70,3.4,1018,25.98,21,48,10000,Mây rải rác,Nắng
Dong Ha,2023-11-24 19:37:24.000000 ,21.76,78,2.51,1018,22.03,98,83,10000,Mây rải rác,Nắng
Bim Son,2023-11-24 19:37:22.000000 ,23.64,75,2.17,1019,24.02,96,89,10000,Mây u ám,Nắng
Phu Ly,2023-11-24 19:37:24.000000 ,23.52,74,2.25,1019,23.86,135,98,10000,Mây u ám,Nắng
Hai Ha,2023-11-24 19:37:25.000000 ,20.55,91,1.41,1020,21.04,164,92,10000,Mây u ám,Nắng
Ha Dong,2023-11-24 19:37:25.000000 ,24.01,67,3.67,1019,24.22,155,82,10000,Mây rải rác,Nắng
Hau Duong,2023-11-24 19:37:25.000000 ,24.02,73,2.06,1018,24.38,170,89,4900,Không xác định,Nắng
Yen Lap,2023-11-24 19:37:25.000000 ,22.91,71,1.04,1018,23.11,158,97,10000,Mây u ám,Nắng
Thanh Ba,2023-11-24 19:37:25.000000 ,23.06,67,2.11,1018,23.17,125,86,10000,Mây u ám,Nắng
Doan Hung,2023-11-24 19:37:25.000000 ,22.77,68,1.67,1018,22.88,121,55,10000,Mây rải rác,Nắng
Son Duong,2023-11-24 19:37:26.000000 ,21.93,70,1.53,1019,22.01,128,53,10000,Mây rải rác,Nắng
